no,Condition,ConditionSession,Trial,color of s1,color of s2,color of s3,color of s4,color of s5,color of s6,color of s7,color of s8,color of tg1,color of tg2,color of tg3,color of tg4,color of tg5,color of tg6,color of tg7,color of tg8,location 1,location 2,location 3,location 4,location 5,location 6,location 7,location 8,"matching setting (1=yes, 0=no)","response key (1=R, 0=L)",Correct,Response Time,
1,1,11,1,1,2,5,3,8,8,8,8,1,2,5,3,8,8,8,8,10,2,4,17,14,18,11,1,1,1,1,0.451,
1,1,11,2,3,7,4,6,8,8,8,8,3,7,4,6,8,8,8,8,19,2,11,18,9,8,5,17,1,1,1,0.573,
1,1,11,3,6,1,2,7,8,8,8,8,6,1,2,5,8,8,8,8,18,5,6,11,12,9,10,7,0,0,1,0.542,
1,1,11,4,4,3,2,7,8,8,8,8,4,3,2,7,8,8,8,8,20,17,5,12,10,4,2,8,1,1,1,0.446,
1,1,11,5,5,4,1,7,8,8,8,8,5,4,1,3,8,8,8,8,13,19,2,3,14,18,17,7,0,0,1,0.557,
1,1,11,6,4,6,3,5,8,8,8,8,4,6,3,5,8,8,8,8,3,15,9,10,16,6,11,4,1,1,1,0.538,
1,1,11,7,3,4,1,5,8,8,8,8,3,4,1,5,8,8,8,8,1,19,11,18,3,14,6,17,1,1,1,0.478,
1,1,11,8,3,5,6,7,8,8,8,8,3,5,6,7,8,8,8,8,3,4,12,1,5,2,16,18,1,1,1,0.548,
1,1,11,9,2,3,6,7,8,8,8,8,2,3,6,7,8,8,8,8,15,9,10,3,2,12,8,11,1,1,1,0.447,
1,1,11,10,5,6,7,2,8,8,8,8,5,6,7,4,8,8,8,8,15,19,17,18,11,12,8,20,0,0,1,0.65,
1,1,11,11,2,4,5,6,8,8,8,8,2,4,5,6,8,8,8,8,8,6,16,20,19,17,14,7,1,1,1,0.422,
1,1,11,12,4,5,7,2,8,8,8,8,4,5,7,1,8,8,8,8,6,20,13,5,12,1,14,7,0,0,1,0.549,
1,1,11,13,2,5,3,1,8,8,8,8,2,5,3,1,8,8,8,8,4,10,14,8,6,1,19,5,1,1,1,0.427,
1,1,11,14,4,2,1,6,8,8,8,8,4,2,1,6,8,8,8,8,9,13,15,12,2,17,1,6,1,0,0,0.757,
1,1,11,15,5,1,2,3,8,8,8,8,5,1,2,7,8,8,8,8,19,9,10,14,6,7,11,20,0,0,1,0.743,
1,1,11,16,1,5,2,6,8,8,8,8,1,5,2,6,8,8,8,8,5,20,13,1,7,6,15,11,1,1,1,0.532,
1,1,11,17,3,2,7,1,8,8,8,8,3,2,7,1,8,8,8,8,10,4,13,18,7,12,16,17,1,1,1,0.477,
1,1,11,18,2,1,7,5,8,8,8,8,2,1,7,5,8,8,8,8,12,3,4,14,1,16,17,19,1,1,1,0.497,
1,1,11,19,1,5,6,7,8,8,8,8,1,5,6,7,8,8,8,8,16,3,17,12,8,20,13,19,1,1,1,0.472,
1,1,11,20,2,6,4,3,8,8,8,8,2,6,4,3,8,8,8,8,20,18,2,9,8,3,12,10,1,1,1,0.719,
1,1,11,21,6,3,5,1,8,8,8,8,6,3,5,4,8,8,8,8,16,14,15,7,18,5,4,3,0,0,1,0.692,
1,1,11,22,7,6,2,3,8,8,8,8,7,6,2,4,8,8,8,8,16,8,7,2,11,17,20,15,0,0,1,0.645,
1,1,11,23,6,4,1,3,8,8,8,8,6,4,1,7,8,8,8,8,15,9,6,10,8,3,13,14,0,0,1,0.673,
